회차,추첨일,1,2,3,4,5,6,보너스
976,2021.08.14,4.0,12.0,14.0,25.0,35.0,37.0,2
975,2021.08.07,7.0,8.0,9.0,17.0,22.0,24.0,5
974,2021.07.31,1.0,2.0,11.0,16.0,39.0,44.0,32
973,2021.07.24,22.0,26.0,31.0,37.0,41.0,42.0,24
972,2021.07.17,3.0,6.0,17.0,23.0,37.0,39.0,26
971,2021.07.10,2.0,6.0,17.0,18.0,21.0,26.0,7
970,2021.07.03,9.0,11.0,16.0,21.0,28.0,36.0,5
969,2021.06.26,3.0,9.0,10.0,29.0,40.0,45.0,7
968,2021.06.19,2.0,5.0,12.0,14.0,24.0,39.0,33
967,2021.06.12,1.0,6.0,13.0,37.0,38.0,40.0,9
966,2021.06.05,1.0,21.0,25.0,29.0,34.0,37.0,36
965,2021.05.29,2.0,13.0,25.0,28.0,29.0,36.0,34
964,2021.05.22,6.0,21.0,36.0,38.0,39.0,43.0,30
963,2021.05.15,6.0,12.0,19.0,23.0,34.0,42.0,35
962,2021.05.08,1.0,18.0,28.0,31.0,34.0,43.0,40
961,2021.05.01,11.0,20.0,29.0,31.0,33.0,42.0,43
960,2021.04.24,2.0,18.0,24.0,30.0,32.0,45.0,14
959,2021.04.17,1.0,14.0,15.0,24.0,40.0,41.0,35
958,2021.04.10,2.0,9.0,10.0,16.0,35.0,37.0,1
957,2021.04.03,4.0,15.0,24.0,35.0,36.0,40.0,1
956,2021.03.27,10.0,11.0,20.0,21.0,25.0,41.0,40
955,2021.03.20,4.0,9.0,23.0,26.0,29.0,33.0,8
954,2021.03.13,1.0,9.0,26.0,28.0,30.0,41.0,32
953,2021.03.06,7.0,9.0,22.0,27.0,37.0,42.0,34
952,2021.02.27,4.0,12.0,22.0,24.0,33.0,41.0,38
951,2021.02.20,2.0,12.0,30.0,31.0,39.0,43.0,38
950,2021.02.13,3.0,4.0,15.0,22.0,28.0,40.0,10
949,2021.02.06,14.0,21.0,35.0,36.0,40.0,44.0,30
948,2021.01.30,13.0,18.0,30.0,31.0,38.0,41.0,5
947,2021.01.23,3.0,8.0,17.0,20.0,27.0,35.0,26
946,2021.01.16,9.0,18.0,19.0,30.0,34.0,40.0,20
945,2021.01.09,9.0,10.0,15.0,30.0,33.0,37.0,26
944,2021.01.02,2.0,13.0,16.0,19.0,32.0,33.0,42
943,2020.12.26,1.0,8.0,13.0,36.0,44.0,45.0,39
942,2020.12.19,10.0,12.0,18.0,35.0,42.0,43.0,39
941,2020.12.12,12.0,14.0,25.0,27.0,39.0,40.0,35
