회차,추첨일,1,2,3,4,5,6,보너스,sum,odd_count,even_count,high_count,low_count,consecutive_count,prime_count
969,2021.06.26,3,9,10,29,40,45,7,136,4,2,3,3,1,2
968,2021.06.19,2,5,12,14,24,39,33,96,2,4,2,4,0,2
967,2021.06.12,1,6,13,37,38,40,9,135,3,3,3,3,1,2
966,2021.06.05,1,21,25,29,34,37,36,147,5,1,4,2,0,2
965,2021.05.29,2,13,25,28,29,36,34,133,3,3,4,2,1,3
964,2021.05.22,6,21,36,38,39,43,30,183,3,3,4,2,1,1
963,2021.05.15,6,12,19,23,34,42,35,136,2,4,3,3,0,2
962,2021.05.08,1,18,28,31,34,43,40,155,3,3,4,2,0,2
961,2021.05.01,11,20,29,31,33,42,43,166,4,2,4,2,0,3
960,2021.04.24,2,18,24,30,32,45,14,151,1,5,4,2,0,1
959,2021.04.17,1,14,15,24,40,41,35,135,3,3,3,3,2,1
958,2021.04.10,2,9,10,16,35,37,1,109,3,3,2,4,1,2
957,2021.04.03,4,15,24,35,36,40,1,154,2,4,4,2,1,0
956,2021.03.27,10,11,20,21,25,41,40,128,4,2,2,4,2,2
955,2021.03.20,4,9,23,26,29,33,8,124,4,2,4,2,0,2
954,2021.03.13,1,9,26,28,30,41,32,135,3,3,4,2,0,1
953,2021.03.06,7,9,22,27,37,42,34,144,4,2,3,3,0,2
952,2021.02.27,4,12,22,24,33,41,38,136,2,4,3,3,0,1
951,2021.02.20,2,12,30,31,39,43,38,157,3,3,4,2,1,3
950,2021.02.13,3,4,15,22,28,40,10,112,2,4,2,4,1,1
949,2021.02.06,14,21,35,36,40,44,30,190,2,4,4,2,1,0
948,2021.01.30,13,18,30,31,38,41,5,171,3,3,4,2,1,3
947,2021.01.23,3,8,17,20,27,35,26,110,4,2,2,4,0,2
946,2021.01.16,9,18,19,30,34,40,20,150,2,4,3,3,1,1
945,2021.01.09,9,10,15,30,33,37,26,134,4,2,3,3,1,1
944,2021.01.02,2,13,16,19,32,33,42,115,3,3,2,4,1,3
943,2020.12.26,1,8,13,36,44,45,39,147,3,3,3,3,1,1
942,2020.12.19,10,12,18,35,42,43,39,160,2,4,3,3,1,1
941,2020.12.12,12,14,25,27,39,40,35,157,3,3,4,2,1,0
940,2020.12.05,3,15,20,22,24,41,11,125,3,3,2,4,0,2
939,2020.11.28,4,11,28,39,42,45,6,169,3,3,4,2,0,1
938,2020.11.21,4,8,10,16,31,36,9,105,1,5,2,4,0,1
937,2020.11.14,2,10,13,22,29,40,26,116,2,4,2,4,0,3
936,2020.11.07,7,11,13,17,18,29,43,95,5,1,1,5,1,5
935,2020.10.31,4,10,20,32,38,44,18,148,0,6,3,3,0,0
934,2020.10.24,1,3,30,33,36,39,12,142,4,2,4,2,0,1
933,2020.10.17,23,27,29,31,36,45,37,191,5,1,6,0,0,3
932,2020.10.10,1,6,15,36,37,38,5,133,3,3,3,3,2,1
931,2020.10.03,14,15,23,25,35,43,32,155,5,1,4,2,1,2
930,2020.09.26,8,21,25,38,39,44,28,175,3,3,4,2,1,0
929,2020.09.19,7,9,12,15,19,23,4,85,5,1,1,5,0,3
928,2020.09.12,3,4,10,20,28,44,30,109,1,5,2,4,1,1
927,2020.09.05,4,15,22,38,41,43,26,163,3,3,3,3,0,2
926,2020.08.29,10,16,18,20,25,31,6,120,2,4,2,4,0,1
925,2020.08.22,13,24,32,34,39,42,4,184,2,4,5,1,0,1
924,2020.08.15,3,11,34,42,43,44,13,177,3,3,4,2,2,3
923,2020.08.08,3,17,18,23,36,41,26,138,4,2,3,3,1,4
922,2020.08.01,2,6,13,17,27,43,36,108,4,2,2,4,0,4
921,2020.07.25,5,7,12,22,28,41,1,115,3,3,2,4,0,3
920,2020.07.18,2,3,26,33,34,43,29,141,3,3,4,2,2,3
919,2020.07.11,9,14,17,18,42,44,35,144,2,4,2,4,1,1
918,2020.07.04,7,11,12,31,33,38,5,132,4,2,3,3,1,3
917,2020.06.27,1,3,23,24,27,43,34,121,5,1,4,2,1,3
916,2020.06.20,6,21,22,32,35,36,17,152,2,4,3,3,2,0
915,2020.06.13,2,6,11,13,22,37,14,91,3,3,1,5,0,4
914,2020.06.06,16,19,24,33,42,44,27,178,2,4,4,2,0,1
913,2020.05.30,6,14,16,21,27,37,40,121,3,3,2,4,0,1
912,2020.05.23,5,8,18,21,22,38,10,112,2,4,1,5,1,1
911,2020.05.16,4,5,12,14,32,42,35,109,1,5,2,4,1,1
910,2020.05.09,1,11,17,27,35,39,31,130,6,0,3,3,0,2
909,2020.05.02,7,24,29,30,34,35,33,159,3,3,5,1,2,2
908,2020.04.25,3,16,21,22,23,44,30,129,3,3,2,4,2,2
907,2020.04.18,21,27,29,38,40,44,37,199,3,3,5,1,0,1
906,2020.04.11,2,5,14,28,31,32,20,112,2,4,3,3,1,3
905,2020.04.04,3,4,16,27,38,40,20,128,2,4,3,3,1,1
904,2020.03.28,2,6,8,26,43,45,11,130,2,4,3,3,0,2
903,2020.03.21,2,15,16,21,22,28,45,104,2,4,1,5,2,1
902,2020.03.14,7,19,23,24,36,39,30,148,4,2,4,2,1,3
901,2020.03.07,5,18,20,23,30,34,21,130,2,4,3,3,0,2
900,2020.02.29,7,13,16,18,35,38,14,127,3,3,2,4,0,2
899,2020.02.22,8,19,20,21,33,39,37,140,4,2,2,4,2,1
898,2020.02.15,18,21,28,35,37,42,17,181,3,3,4,2,0,1
897,2020.02.08,6,7,12,22,26,36,29,109,1,5,2,4,1,1
896,2020.02.01,5,12,25,26,38,45,23,151,3,3,4,2,1,1
895,2020.01.25,16,26,31,38,39,41,23,191,3,3,5,1,1,2
894,2020.01.18,19,32,37,40,41,43,45,212,4,2,5,1,1,4
893,2020.01.11,1,15,17,23,25,41,10,122,6,0,3,3,0,3
892,2020.01.04,4,9,17,18,26,42,36,116,2,4,2,4,1,1
891,2019.12.28,9,13,28,31,39,41,19,161,5,1,4,2,0,3
890,2019.12.21,1,4,14,18,29,37,6,103,3,3,2,4,0,2
889,2019.12.14,3,13,29,38,39,42,26,164,4,2,4,2,1,3
888,2019.12.07,3,7,12,31,34,38,32,125,3,3,3,3,0,3
887,2019.11.30,8,14,17,27,36,45,10,147,3,3,3,3,0,1
886,2019.11.23,19,23,28,37,42,45,2,194,4,2,5,1,0,3
885,2019.11.16,1,3,24,27,39,45,31,139,5,1,4,2,0,1
884,2019.11.09,4,14,23,28,37,45,17,151,3,3,4,2,0,2
883,2019.11.02,9,18,32,33,37,44,22,173,3,3,4,2,1,1
882,2019.10.26,18,34,39,43,44,45,23,223,3,3,5,1,2,1
881,2019.10.19,4,18,20,26,27,32,9,127,1,5,3,3,1,0
880,2019.10.12,7,17,19,23,24,45,38,135,5,1,3,3,1,4
879,2019.10.05,1,4,10,14,15,35,20,79,3,3,1,5,1,0
878,2019.09.28,2,6,11,16,25,31,3,91,3,3,2,4,0,3
877,2019.09.21,5,17,18,22,23,43,12,128,4,2,2,4,2,4
876,2019.09.14,5,16,21,26,34,42,24,144,2,4,3,3,0,1
875,2019.09.07,19,22,30,34,39,44,36,188,2,4,4,2,0,1
874,2019.08.31,1,15,19,23,28,42,32,128,4,2,3,3,0,2
873,2019.08.24,3,5,12,13,33,39,38,105,5,1,2,4,1,3
872,2019.08.17,2,4,30,32,33,43,29,144,2,4,4,2,1,2
871,2019.08.10,2,6,12,26,30,34,38,110,0,6,3,3,0,1
870,2019.08.03,21,25,30,32,40,42,31,190,2,4,5,1,0,0
869,2019.07.27,2,6,20,27,37,39,4,131,3,3,3,3,0,2
868,2019.07.20,12,17,28,41,43,44,25,185,3,3,4,2,1,3
867,2019.07.13,14,17,19,22,24,40,41,136,2,4,2,4,0,2
866,2019.07.06,9,15,29,34,37,39,12,163,5,1,4,2,0,2
865,2019.06.29,3,15,22,32,33,45,2,150,4,2,3,3,1,1
864,2019.06.22,3,7,10,13,25,36,32,94,4,2,2,4,0,3
863,2019.06.15,16,21,28,35,39,43,12,182,4,2,4,2,0,1
862,2019.06.08,10,34,38,40,42,43,32,207,1,5,5,1,1,1
861,2019.06.01,11,17,19,21,22,25,24,115,5,1,1,5,1,3
860,2019.05.25,4,8,18,25,27,32,42,114,2,4,3,3,0,0
859,2019.05.18,8,22,35,38,39,41,24,183,3,3,4,2,1,1
858,2019.05.11,9,13,32,38,39,43,23,174,4,2,4,2,1,2
857,2019.05.04,6,10,16,28,34,38,43,132,0,6,3,3,0,0
856,2019.04.27,10,24,40,41,43,44,17,202,2,4,5,1,2,2
855,2019.04.20,8,15,17,19,43,44,7,146,4,2,2,4,1,3
854,2019.04.13,20,25,31,32,36,43,3,187,3,3,5,1,1,2
853,2019.04.06,2,8,23,26,27,44,13,130,2,4,4,2,1,2
852,2019.03.30,11,17,28,30,33,35,9,154,4,2,4,2,0,2
851,2019.03.23,14,18,22,26,31,44,40,155,1,5,3,3,0,1
850,2019.03.16,16,20,24,28,36,39,5,163,1,5,4,2,0,0
849,2019.03.09,5,13,17,29,34,39,3,137,5,1,3,3,0,4
848,2019.03.02,1,2,16,22,38,39,34,118,2,4,2,4,2,1
847,2019.02.23,12,16,26,28,30,42,22,154,0,6,4,2,0,0
846,2019.02.16,5,18,30,41,43,45,13,182,4,2,4,2,0,3
845,2019.02.09,1,16,29,33,40,45,6,164,4,2,4,2,0,1
844,2019.02.02,7,8,13,15,33,45,18,121,5,1,2,4,1,2
843,2019.01.26,19,21,30,33,34,42,4,179,3,3,4,2,1,1
842,2019.01.19,14,26,32,36,39,42,38,189,1,5,5,1,0,0
841,2019.01.12,5,11,14,30,33,38,24,131,3,3,3,3,0,2
840,2019.01.05,2,4,11,28,29,43,27,117,3,3,3,3,1,4
839,2018.12.29,3,9,11,12,13,19,35,67,5,1,0,6,2,4
838,2018.12.22,9,14,17,33,36,38,20,147,3,3,3,3,0,1
837,2018.12.15,2,25,28,30,33,45,6,163,3,3,5,1,0,1
836,2018.12.08,1,9,11,14,26,28,19,89,3,3,2,4,0,1
835,2018.12.01,9,10,13,28,38,45,35,143,3,3,3,3,1,1
834,2018.11.24,6,8,18,35,42,43,3,152,2,4,3,3,1,1
833,2018.11.17,12,18,30,39,41,42,19,182,2,4,4,2,1,1
832,2018.11.10,13,14,19,26,40,43,30,155,3,3,3,3,1,3
831,2018.11.03,3,10,16,19,31,39,9,118,4,2,2,4,0,3
830,2018.10.27,5,6,16,18,37,38,17,120,2,4,2,4,2,2
829,2018.10.20,4,5,31,35,43,45,29,163,5,1,4,2,1,3
828,2018.10.13,4,7,13,29,31,39,18,123,5,1,3,3,0,4
827,2018.10.06,5,11,12,29,33,44,14,134,4,2,3,3,1,3
826,2018.09.29,13,16,24,25,33,36,42,147,3,3,4,2,1,1
825,2018.09.22,8,15,21,31,33,38,42,146,4,2,3,3,0,1
824,2018.09.15,7,9,24,29,34,38,26,141,3,3,4,2,0,2
823,2018.09.08,12,18,24,26,39,40,15,159,1,5,4,2,1,0
822,2018.09.01,9,18,20,24,27,36,12,134,2,4,3,3,0,0
821,2018.08.25,1,12,13,24,29,44,16,123,3,3,3,3,1,2
820,2018.08.18,10,21,22,30,35,42,6,160,2,4,3,3,1,0
819,2018.08.11,16,25,33,38,40,45,15,197,3,3,5,1,0,0
818,2018.08.04,14,15,25,28,29,30,3,141,3,3,4,2,3,1
817,2018.07.28,3,9,12,13,25,43,34,105,5,1,2,4,1,3
816,2018.07.21,12,18,19,29,31,39,7,148,4,2,3,3,1,3
815,2018.07.14,17,21,25,26,27,36,4,152,4,2,4,2,2,1
814,2018.07.07,2,21,28,38,42,45,30,176,2,4,4,2,0,1
813,2018.06.30,11,30,34,35,42,44,27,196,2,4,5,1,1,1
812,2018.06.23,1,3,12,14,16,43,10,89,3,3,1,5,0,2
811,2018.06.16,8,11,19,21,36,45,25,140,4,2,2,4,0,2
810,2018.06.09,5,10,13,21,39,43,11,131,5,1,2,4,0,3
809,2018.06.02,6,11,15,17,23,40,39,112,4,2,2,4,0,3
